Index,Lokacija,Tijelo samouprave,Godina,Vrsta,Klasifikacija,Razdjel,Razdjel opis,Glava,Glava opis,Korisnik,Korisnik opis,Iznos
201372001,Hrvatska,država,2013,izvorni plan,organizacijska,010,HRVATSKI SABOR,01005,Hrvatski sabor,,,144188920
201372002,Hrvatska,država,2013,izvorni plan,organizacijska,010,HRVATSKI SABOR,01015,Ured Povjerenstva za odlučivanje o sukobu interesa,,,438808
201372003,Hrvatska,država,2013,izvorni plan,organizacijska,010,HRVATSKI SABOR,01020,Državno izborno povjerenstvo Republike Hrvatske,,,86039000
201372004,Hrvatska,država,2013,izvorni plan,organizacijska,010,HRVATSKI SABOR,01025,Povjerenstvo za odlučivanje o sukobu interesa,,,3905711
201372005,Hrvatska,država,2013,izvorni plan,organizacijska,013,URED PREDSJEDNIKA REPUBLIKE HRVATSKE PO PRESTANKU OBNAŠANJA DUŽNOSTI,01305,Ured predsjednika Republike Hrvatske po prestanku obnašanja dužnosti,,,947995
201372006,Hrvatska,država,2013,izvorni plan,organizacijska,015,URED PREDSJEDNIKA REPUBLIKE HRVATSKE,01505,Ured Predsjednika Republike Hrvatske,,,44917698
201372007,Hrvatska,država,2013,izvorni plan,organizacijska,017,USTAVNI SUD REPUBLIKE HRVATSKE,01705,Ustavni sud Republike Hrvatske,,,28763258
201372008,Hrvatska,država,2013,izvorni plan,organizacijska,018,AGENCIJA ZA ZAŠTITU TRŽIŠNOG NATJECANJA,01805,Agencija za zaštitu tržišnog natjecanja,,,13135074
201372009,Hrvatska,država,2013,izvorni plan,organizacijska,020,VLADA REPUBLIKE HRVATSKE,02005,Vlada Republike Hrvatske,,,31068340
201372010,Hrvatska,država,2013,izvorni plan,organizacijska,020,VLADA REPUBLIKE HRVATSKE,02006,Ured predsjednika Vlade Republike Hrvatske,,,13109000
201372011,Hrvatska,država,2013,izvorni plan,organizacijska,020,VLADA REPUBLIKE HRVATSKE,02010,Ured za udruge,,,70806397
201372012,Hrvatska,država,2013,izvorni plan,organizacijska,020,VLADA REPUBLIKE HRVATSKE,02015,Ured zastupnika Republike Hrvatske pred Europskim sudom za ljudska prava,,,4008000
201372013,Hrvatska,država,2013,izvorni plan,organizacijska,020,VLADA REPUBLIKE HRVATSKE,02021,Stručna služba Savjeta za nacionalne manjine,,,39104500
