Index,Lokacija,Tijelo samouprave,Godina,Vrsta,Klasifikacija,Razred,Razred opis,Skupina,Skupina opis,Podskupina,Podskupina opis,Iznos
8001,Primorsko-goranska,županija,2002,rashod,funkcijska,01,Opće javne usluge,011,"Izvršna i zakonodavna tijela, financijski i fiskalni poslovi, vanjski poslovi",0111,Izvršna i zakonodavna tijela,4211836
8002,Primorsko-goranska,županija,2002,rashod,funkcijska,01,Opće javne usluge,011,"Izvršna i zakonodavna tijela, financijski i fiskalni poslovi, vanjski poslovi",0112,Financijski i fiskalni poslovi,0
8003,Primorsko-goranska,županija,2002,rashod,funkcijska,01,Opće javne usluge,011,"Izvršna i zakonodavna tijela, financijski i fiskalni poslovi, vanjski poslovi",0113,Vanjski poslovi,678417
8004,Primorsko-goranska,županija,2002,rashod,funkcijska,01,Opće javne usluge,012,Inozemna ekonomska pomoć,0121,Ekonomska pomoć zemljama u razvoju i zemljama u tranziciji,0
8005,Primorsko-goranska,županija,2002,rashod,funkcijska,01,Opće javne usluge,012,Inozemna ekonomska pomoć,0122,Ekonomska pomoć usmjerena preko međunarodnih agencija,0
8006,Primorsko-goranska,županija,2002,rashod,funkcijska,01,Opće javne usluge,013,Opće usluge,0131,Opće usluge vezane za službenike,21563782
8007,Primorsko-goranska,županija,2002,rashod,funkcijska,01,Opće javne usluge,013,Opće usluge,0132,Sveukupno planiranje i statističke usluge,0
8008,Primorsko-goranska,županija,2002,rashod,funkcijska,01,Opće javne usluge,013,Opće usluge,0133,Ostale opće usluge,861293
8009,Primorsko-goranska,županija,2002,rashod,funkcijska,01,Opće javne usluge,014,Osnovna istraživanja,,,0
8010,Primorsko-goranska,županija,2002,rashod,funkcijska,01,Opće javne usluge,015,Istraživanje i razvoj: Opće javne usluge,,,2887937
8011,Primorsko-goranska,županija,2002,rashod,funkcijska,01,Opće javne usluge,016,Opće javne usluge koje nisu drugdje svrstane,,,0
8012,Primorsko-goranska,županija,2002,rashod,funkcijska,01,Opće javne usluge,017,Transakcije vezane za javni dug,,,705880
8013,Primorsko-goranska,županija,2002,rashod,funkcijska,01,Opće javne usluge,018,Prijenosi općeg karaktera između različitih državnih razina,,,2080015
8014,Primorsko-goranska,županija,2002,rashod,funkcijska,02,Obrana,021,Vojna obrana,,,0
