"Index","Lokacija","Razina","Jedinica samouprave","Godina","Vrsta","Klasifikacija","Razred","Razred opis","Skupina","Skupina opis","Podskupina","Podskupina opis","Iznos"
"1","Grad Zagreb","21","županija","2002","rashod","funkcijska","01","Opće javne usluge","011","Izvršna i zakonodavna tijela, financijski i fiskalni poslovi, vanjski poslovi","0111","Izvršna i zakonodavna tijela","422670776"
"2","Grad Zagreb","21","županija","2002","rashod","funkcijska","01","Opće javne usluge","011","Izvršna i zakonodavna tijela, financijski i fiskalni poslovi, vanjski poslovi","0112","Financijski i fiskalni poslovi","3620226"
"3","Grad Zagreb","21","županija","2002","rashod","funkcijska","01","Opće javne usluge","011","Izvršna i zakonodavna tijela, financijski i fiskalni poslovi, vanjski poslovi","0113","Vanjski poslovi","1598500"
"4","Grad Zagreb","21","županija","2002","rashod","funkcijska","01","Opće javne usluge","012","Inozemna ekonomska pomoć","0121","Ekonomska pomoć zemljama u razvoju i zemljama u tranziciji","0"
"5","Grad Zagreb","21","županija","2002","rashod","funkcijska","01","Opće javne usluge","012","Inozemna ekonomska pomoć","0122","Ekonomska pomoć usmjerena preko međunarodnih agencija","0"
"6","Grad Zagreb","21","županija","2002","rashod","funkcijska","01","Opće javne usluge","013","Opće usluge","0131","Opće usluge vezane za službenike","0"
"7","Grad Zagreb","21","županija","2002","rashod","funkcijska","01","Opće javne usluge","013","Opće usluge","0132","Sveukupno planiranje i statističke usluge","0"
"8","Grad Zagreb","21","županija","2002","rashod","funkcijska","01","Opće javne usluge","013","Opće usluge","0133","Ostale opće usluge","24380647"
"9","Grad Zagreb","21","županija","2002","rashod","funkcijska","01","Opće javne usluge","014","Osnovna istraživanja","","","0"
"10","Grad Zagreb","21","županija","2002","rashod","funkcijska","01","Opće javne usluge","015","Istraživanje i razvoj: Opće javne usluge","","","0"
"11","Grad Zagreb","21","županija","2002","rashod","funkcijska","01","Opće javne usluge","016","Opće javne usluge koje nisu drugdje svrstane","","","0"
"12","Grad Zagreb","21","županija","2002","rashod","funkcijska","01","Opće javne usluge","017","Transakcije vezane za javni dug","","","52413939"
"13","Grad Zagreb","21","županija","2002","rashod","funkcijska","01","Opće javne usluge","018","Prijenosi općeg karaktera između različitih državnih razina","","","20039197"
"14","Grad Zagreb","21","županija","2002","rashod","funkcijska","02","Obrana","021","Vojna obrana","","","0"
"15","Grad Zagreb","21","županija","2002","rashod","funkcijska","02","Obrana","022","Civilna obrana","","","0"
"16","Grad Zagreb","21","županija","2002","rashod","funkcijska","02","Obrana","023","Inozemna vojna pomoć","","","0"
"17","Grad Zagreb","21","županija","2002","rashod","funkcijska","02","Obrana","024","Istraživanje i razvoj obrane","","","0"
"18","Grad Zagreb","21","županija","2002","rashod","funkcijska","02","Obrana","025","Rashodi za obranu koji nisu drugdje svrstani","","","0"
"19","Grad Zagreb","21","županija","2002","rashod","funkcijska","03","Javni red i sigurnost","031","Usluge policije","","","0"
"20","Grad Zagreb","21","županija","2002","rashod","funkcijska","03","Javni red i sigurnost","032","Usluge protupožarne zaštite","","","51739466"
"21","Grad Zagreb","21","županija","2002","rashod","funkcijska","03","Javni red i sigurnost","033","Sudovi","","","6900000"
"22","Grad Zagreb","21","županija","2002","rashod","funkcijska","03","Javni red i sigurnost","034","Zatvori","","","0"
"23","Grad Zagreb","21","županija","2002","rashod","funkcijska","03","Javni red i sigurnost","035","Istraživanje i razvoj: Javni red i sigurnost","","","0"
"24","Grad Zagreb","21","županija","2002","rashod","funkcijska","03","Javni red i sigurnost","036","Rashodi za javni red i sigurnost koji nisu drugdje svrstani","","","833000"
"25","Grad Zagreb","21","županija","2002","rashod","funkcijska","04","Ekonomski poslovi","041","Opći ekonomski, trgovački i poslovi vezani uz rad","0411","Opći ekonomski i trgovački poslovi","33243672"
"26","Grad Zagreb","21","županija","2002","rashod","funkcijska","04","Ekonomski poslovi","041","Opći ekonomski, trgovački i poslovi vezani uz rad","0412","Opći poslovi vezani uz rad","0"
"27","Grad Zagreb","21","županija","2002","rashod","funkcijska","04","Ekonomski poslovi","042","Poljoprivreda, šumarstvo, ribarstvo i lov","0421","Poljoprivreda","6238795"
"28","Grad Zagreb","21","županija","2002","rashod","funkcijska","04","Ekonomski poslovi","042","Poljoprivreda, šumarstvo, ribarstvo i lov","0422","Šumarstvo","180217"
"29","Grad Zagreb","21","županija","2002","rashod","funkcijska","04","Ekonomski poslovi","042","Poljoprivreda, šumarstvo, ribarstvo i lov","0423","Ribarstvo i lov","600132"
"30","Grad Zagreb","21","županija","2002","rashod","funkcijska","04","Ekonomski poslovi","043","Gorivo i energija","0431","Ugljen i ostala kruta mineralna goriva","0"
"31","Grad Zagreb","21","županija","2002","rashod","funkcijska","04","Ekonomski poslovi","043","Gorivo i energija","0432","Nafta i prirodni plin","0"
"32","Grad Zagreb","21","županija","2002","rashod","funkcijska","04","Ekonomski poslovi","043","Gorivo i energija","0433","Nuklearno gorivo","0"
"33","Grad Zagreb","21","županija","2002","rashod","funkcijska","04","Ekonomski poslovi","043","Gorivo i energija","0434","Ostala goriva","0"
"34","Grad Zagreb","21","županija","2002","rashod","funkcijska","04","Ekonomski poslovi","043","Gorivo i energija","0435","Električna energija","11636010"
"35","Grad Zagreb","21","županija","2002","rashod","funkcijska","04","Ekonomski poslovi","043","Gorivo i energija","0436","Ostale vrste energije","0"
"36","Grad Zagreb","21","županija","2002","rashod","funkcijska","04","Ekonomski poslovi","044","Rudarstvo, proizvodnja i građevinarstvo","0441","Rudarstvo, mineralni resursi i ostala mineralna goriva","11759"
"37","Grad Zagreb","21","županija","2002","rashod","funkcijska","04","Ekonomski poslovi","044","Rudarstvo, proizvodnja i građevinarstvo","0442","Proizvodnja","0"
"38","Grad Zagreb","21","županija","2002","rashod","funkcijska","04","Ekonomski poslovi","044","Rudarstvo, proizvodnja i građevinarstvo","0443","Građevinarstvo","0"
"39","Grad Zagreb","21","županija","2002","rashod","funkcijska","04","Ekonomski poslovi","045","Promet","0451","Cestovni promet","114622145"
"40","Grad Zagreb","21","županija","2002","rashod","funkcijska","04","Ekonomski poslovi","045","Promet","0452","Promet vodnim potovima","0"
"41","Grad Zagreb","21","županija","2002","rashod","funkcijska","04","Ekonomski poslovi","045","Promet","0453","Željeznički promet","53958178"
"42","Grad Zagreb","21","županija","2002","rashod","funkcijska","04","Ekonomski poslovi","045","Promet","0454","Zračni promet","0"
"43","Grad Zagreb","21","županija","2002","rashod","funkcijska","04","Ekonomski poslovi","045","Promet","0455","Promet cjevovodima i ostali promet","491348945"
"44","Grad Zagreb","21","županija","2002","rashod","funkcijska","04","Ekonomski poslovi","046","Komunikacije","","","0"
"45","Grad Zagreb","21","županija","2002","rashod","funkcijska","04","Ekonomski poslovi","047","Ostale industrije","0471","Distribucija i skladištenje","0"
"46","Grad Zagreb","21","županija","2002","rashod","funkcijska","04","Ekonomski poslovi","047","Ostale industrije","0472","Hoteli i restorani","0"
"47","Grad Zagreb","21","županija","2002","rashod","funkcijska","04","Ekonomski poslovi","047","Ostale industrije","0473","Turizam","0"
"48","Grad Zagreb","21","županija","2002","rashod","funkcijska","04","Ekonomski poslovi","047","Ostale industrije","0474","Višenamjenski razvojni projekti","0"
"49","Grad Zagreb","21","županija","2002","rashod","funkcijska","04","Ekonomski poslovi","048","Istraživanje i razvoj: Ekonomski poslovi","0481","Istraživanje i razvoj: Opći ekonomski, trgovački i poslovi vezani uz rad","0"
"50","Grad Zagreb","21","županija","2002","rashod","funkcijska","04","Ekonomski poslovi","048","Istraživanje i razvoj: Ekonomski poslovi","0482","Istraživanje i razvoj: Poljoprivreda, šumarstvo, ribarstvo i lov","0"
"51","Grad Zagreb","21","županija","2002","rashod","funkcijska","04","Ekonomski poslovi","048","Istraživanje i razvoj: Ekonomski poslovi","0483","Istraživanje i razvoj: Gorivo i energija","0"
"52","Grad Zagreb","21","županija","2002","rashod","funkcijska","04","Ekonomski poslovi","048","Istraživanje i razvoj: Ekonomski poslovi","0484","Istraživanje i razvoj: Rudarstvo, proizvodnja i građevinarstvo","17435"
"53","Grad Zagreb","21","županija","2002","rashod","funkcijska","04","Ekonomski poslovi","048","Istraživanje i razvoj: Ekonomski poslovi","0485","Istraživanje i razvoj: Promet","0"
"54","Grad Zagreb","21","županija","2002","rashod","funkcijska","04","Ekonomski poslovi","048","Istraživanje i razvoj: Ekonomski poslovi","0486","Istraživanje i razvoj: Komunikacije","0"
"55","Grad Zagreb","21","županija","2002","rashod","funkcijska","04","Ekonomski poslovi","048","Istraživanje i razvoj: Ekonomski poslovi","0487","Istraživanje i razvoj: Ostale industrije","0"
"56","Grad Zagreb","21","županija","2002","rashod","funkcijska","04","Ekonomski poslovi","049","Ekonomski poslovi koji nisu drugdje svrstani","","","0"
"57","Grad Zagreb","21","županija","2002","rashod","funkcijska","05","Zaštita okoliša","051","Gospodarenje otpadom","","","0"
"58","Grad Zagreb","21","županija","2002","rashod","funkcijska","05","Zaštita okoliša","052","Gospodarenje otpadnim vodama","","","0"
"59","Grad Zagreb","21","županija","2002","rashod","funkcijska","05","Zaštita okoliša","053","Smanjenje zagađivanja","","","0"
"60","Grad Zagreb","21","županija","2002","rashod","funkcijska","05","Zaštita okoliša","054","Zaštita bioraznolikosti i krajolika","","","0"
"61","Grad Zagreb","21","županija","2002","rashod","funkcijska","05","Zaštita okoliša","055","Istraživanje i razvoj: Zaštita okoliša","","","484937"
"62","Grad Zagreb","21","županija","2002","rashod","funkcijska","05","Zaštita okoliša","056","Poslovi i usluge zaštite okoliša koji nisu drugdje svrstani","","","3661635"
"63","Grad Zagreb","21","županija","2002","rashod","funkcijska","06","Usluge unapređenja stanovanja i zajednice","061","Razvoj stanovanja","","","65711250"
"64","Grad Zagreb","21","županija","2002","rashod","funkcijska","06","Usluge unapređenja stanovanja i zajednice","062","Razvoj zajednice","","","746601042"
"65","Grad Zagreb","21","županija","2002","rashod","funkcijska","06","Usluge unapređenja stanovanja i zajednice","063","Opskrba vodom","","","13226352"
"66","Grad Zagreb","21","županija","2002","rashod","funkcijska","06","Usluge unapređenja stanovanja i zajednice","064","Ulična rasvjeta","","","0"
"67","Grad Zagreb","21","županija","2002","rashod","funkcijska","06","Usluge unapređenja stanovanja i zajednice","065","Istraživanje i razvoj stanovanja i komunalnih pogodnosti","","","2289247"
"68","Grad Zagreb","21","županija","2002","rashod","funkcijska","06","Usluge unapređenja stanovanja i zajednice","066","Rashodi vezani za stanovanje i kom pogodnosti koji nisu drugdje svrstani","","","35567796"
"69","Grad Zagreb","21","županija","2002","rashod","funkcijska","07","Zdravstvo","071","Medicinski proizvodi, pribor i oprema","0711","Farmaceutski proizvodi","0"
"70","Grad Zagreb","21","županija","2002","rashod","funkcijska","07","Zdravstvo","071","Medicinski proizvodi, pribor i oprema","0712","Ostali medicinski proizvodi","0"
"71","Grad Zagreb","21","županija","2002","rashod","funkcijska","07","Zdravstvo","071","Medicinski proizvodi, pribor i oprema","0713","Terapeutski pribor i oprema","0"
"72","Grad Zagreb","21","županija","2002","rashod","funkcijska","07","Zdravstvo","072","Službe za vanjske pacijente","0721","Opće medicinske usluge","0"
"73","Grad Zagreb","21","županija","2002","rashod","funkcijska","07","Zdravstvo","072","Službe za vanjske pacijente","0722","Specijalističke medicinske usluge","0"
"74","Grad Zagreb","21","županija","2002","rashod","funkcijska","07","Zdravstvo","072","Službe za vanjske pacijente","0723","Zubarske usluge","317685"
"75","Grad Zagreb","21","županija","2002","rashod","funkcijska","07","Zdravstvo","072","Službe za vanjske pacijente","0724","Paramedicinske usluge","0"
"76","Grad Zagreb","21","županija","2002","rashod","funkcijska","07","Zdravstvo","073","Bolničke službe","0731","Usluge općih bolnica","7594198"
"77","Grad Zagreb","21","županija","2002","rashod","funkcijska","07","Zdravstvo","073","Bolničke službe","0732","Usluge specijalističkih bolnica","629632"
"78","Grad Zagreb","21","županija","2002","rashod","funkcijska","07","Zdravstvo","073","Bolničke službe","0733","Usluge medicinskih centara i centara za majčinstvo","0"
"79","Grad Zagreb","21","županija","2002","rashod","funkcijska","07","Zdravstvo","073","Bolničke službe","0734","Usluge centara za njegu i oporavak","0"
"80","Grad Zagreb","21","županija","2002","rashod","funkcijska","07","Zdravstvo","074","Službe javnog zdravstva","","","13757701"
"81","Grad Zagreb","21","županija","2002","rashod","funkcijska","07","Zdravstvo","075","Istraživanje i razvoj zdravstva","","","0"
"82","Grad Zagreb","21","županija","2002","rashod","funkcijska","07","Zdravstvo","076","Poslovi i usluge zdravstva koji nisu drugdje svrstani","","","100605835"
"83","Grad Zagreb","21","županija","2002","rashod","funkcijska","08","Rekreacija, kultura i religija","081","Službe rekreacije i sporta","","","178807799"
"84","Grad Zagreb","21","županija","2002","rashod","funkcijska","08","Rekreacija, kultura i religija","082","Službe kulture","","","309881913"
"85","Grad Zagreb","21","županija","2002","rashod","funkcijska","08","Rekreacija, kultura i religija","083","Službe emitiranja i izdavanja","","","2000255"
"86","Grad Zagreb","21","županija","2002","rashod","funkcijska","08","Rekreacija, kultura i religija","084","Religijske i druge službe zajednice","","","295200"
"87","Grad Zagreb","21","županija","2002","rashod","funkcijska","08","Rekreacija, kultura i religija","085","Istraživanje i razvoj rekreacije, kulture i religije","","","0"
"88","Grad Zagreb","21","županija","2002","rashod","funkcijska","08","Rekreacija, kultura i religija","086","Rashodi za rekreaciju, kulturu i religiju koji nisu drugdje svrstani","","","11432839"
"89","Grad Zagreb","21","županija","2002","rashod","funkcijska","09","Obrazovanje","091","Predškolsko i osnovno obrazovanje","0911","Predškolsko obrazovanje","450615607"
"90","Grad Zagreb","21","županija","2002","rashod","funkcijska","09","Obrazovanje","091","Predškolsko i osnovno obrazovanje","0912","Osnovno obrazovanje","122497316"
"91","Grad Zagreb","21","županija","2002","rashod","funkcijska","09","Obrazovanje","092","Srednjoškolsko obrazovanje","0921","Niže srednjoškolsko obrazovanje","55810060"
"92","Grad Zagreb","21","županija","2002","rashod","funkcijska","09","Obrazovanje","092","Srednjoškolsko obrazovanje","0922","Više srednjoškolsko obrazovanje","0"
"93","Grad Zagreb","21","županija","2002","rashod","funkcijska","09","Obrazovanje","093","Poslije srednjoškolsko, ali ne visoko obrazovanje","","","0"
"94","Grad Zagreb","21","županija","2002","rashod","funkcijska","09","Obrazovanje","094","Visoka naobrazba","0941","Prvi stupanj visoke naobrazbe","151500"
"95","Grad Zagreb","21","županija","2002","rashod","funkcijska","09","Obrazovanje","094","Visoka naobrazba","0942","Drugi stupanj visoke naobrazbe","0"
"96","Grad Zagreb","21","županija","2002","rashod","funkcijska","09","Obrazovanje","095","Obrazovanje koje se ne može definirati po stupnju","","","19737763"
"97","Grad Zagreb","21","županija","2002","rashod","funkcijska","09","Obrazovanje","096","Dodatne usluge u obrazovanju","","","0"
"98","Grad Zagreb","21","županija","2002","rashod","funkcijska","09","Obrazovanje","097","Istraživanje i razvoj obrazovanja","","","0"
"99","Grad Zagreb","21","županija","2002","rashod","funkcijska","09","Obrazovanje","098","Usluge obrazovanja koje nisu drugdje svrstane","","","729591"
"100","Grad Zagreb","21","županija","2002","rashod","funkcijska","10","Socijalna zaštita","101","Bolest i invaliditet","1011","Bolest","0"
"101","Grad Zagreb","21","županija","2002","rashod","funkcijska","10","Socijalna zaštita","101","Bolest i invaliditet","1012","Invaliditet","18192920"
"102","Grad Zagreb","21","županija","2002","rashod","funkcijska","10","Socijalna zaštita","102","Starost","","","114675284"
"103","Grad Zagreb","21","županija","2002","rashod","funkcijska","10","Socijalna zaštita","103","Sljednici","","","130811"
"104","Grad Zagreb","21","županija","2002","rashod","funkcijska","10","Socijalna zaštita","104","Obitelj i djeca","","","4494453"
"105","Grad Zagreb","21","županija","2002","rashod","funkcijska","10","Socijalna zaštita","105","Nezaposlenost","","","0"
"106","Grad Zagreb","21","županija","2002","rashod","funkcijska","10","Socijalna zaštita","106","Stanovanje","","","0"
