Index,Lokacija,Tijelo samouprave,Godina,Vrsta,Klasifikacija,Razred,Razred opis,Skupina,Skupina opis,Podskupina,Podskupina opis,Iznos
1001,Grad Zagreb,županija,2011,rashod,funkcijska,01,Opće javne usluge,011,"Izvršna i zakonodavna tijela, financijski i fiskalni poslovi, vanjski poslovi",0111,Izvršna i zakonodavna tijela,682491076
1002,Grad Zagreb,županija,2011,rashod,funkcijska,01,Opće javne usluge,011,"Izvršna i zakonodavna tijela, financijski i fiskalni poslovi, vanjski poslovi",0112,Financijski i fiskalni poslovi,0
1003,Grad Zagreb,županija,2011,rashod,funkcijska,01,Opće javne usluge,011,"Izvršna i zakonodavna tijela, financijski i fiskalni poslovi, vanjski poslovi",0113,Vanjski poslovi,4037009
1004,Grad Zagreb,županija,2011,rashod,funkcijska,01,Opće javne usluge,012,Inozemna ekonomska pomoć,0121,Ekonomska pomoć zemljama u razvoju i zemljama u tranziciji,0
1005,Grad Zagreb,županija,2011,rashod,funkcijska,01,Opće javne usluge,012,Inozemna ekonomska pomoć,0122,Ekonomska pomoć usmjerena preko međunarodnih agencija,0
1006,Grad Zagreb,županija,2011,rashod,funkcijska,01,Opće javne usluge,013,Opće usluge,0131,Opće usluge vezane za službenike,0
1007,Grad Zagreb,županija,2011,rashod,funkcijska,01,Opće javne usluge,013,Opće usluge,0132,Sveukupno planiranje i statističke usluge,0
1008,Grad Zagreb,županija,2011,rashod,funkcijska,01,Opće javne usluge,013,Opće usluge,0133,Ostale opće usluge,0
1009,Grad Zagreb,županija,2011,rashod,funkcijska,04,Ekonomski poslovi,041,"Opći ekonomski, trgovački i poslovi vezani uz rad",0411,Opći ekonomski i trgovački poslovi,0
1010,Grad Zagreb,županija,2011,rashod,funkcijska,04,Ekonomski poslovi,041,"Opći ekonomski, trgovački i poslovi vezani uz rad",0412,Opći poslovi vezani uz rad,0
1011,Grad Zagreb,županija,2011,rashod,funkcijska,04,Ekonomski poslovi,042,"Poljoprivreda, šumarstvo, ribarstvo i lov",0421,Poljoprivreda,37502532
1012,Grad Zagreb,županija,2011,rashod,funkcijska,04,Ekonomski poslovi,042,"Poljoprivreda, šumarstvo, ribarstvo i lov",0422,Šumarstvo,0
1013,Grad Zagreb,županija,2011,rashod,funkcijska,04,Ekonomski poslovi,042,"Poljoprivreda, šumarstvo, ribarstvo i lov",0423,Ribarstvo i lov,0
1014,Grad Zagreb,županija,2011,rashod,funkcijska,04,Ekonomski poslovi,043,Gorivo i energija,,,2012103
1015,Grad Zagreb,županija,2011,rashod,funkcijska,04,Ekonomski poslovi,043,Gorivo i energija,0431,Ugljen i ostala kruta mineralna goriva,0
1016,Grad Zagreb,županija,2011,rashod,funkcijska,04,Ekonomski poslovi,043,Gorivo i energija,0432,Nafta i prirodni plin,0
1017,Grad Zagreb,županija,2011,rashod,funkcijska,04,Ekonomski poslovi,043,Gorivo i energija,0433,Nuklearno gorivo,0
1018,Grad Zagreb,županija,2011,rashod,funkcijska,04,Ekonomski poslovi,043,Gorivo i energija,0434,Ostala goriva,0
1019,Grad Zagreb,županija,2011,rashod,funkcijska,04,Ekonomski poslovi,043,Gorivo i energija,0435,Električna energija,0
1020,Grad Zagreb,županija,2011,rashod,funkcijska,04,Ekonomski poslovi,043,Gorivo i energija,0436,Ostale vrste energije,2012103
1021,Grad Zagreb,županija,2011,rashod,funkcijska,04,Ekonomski poslovi,044,"Rudarstvo, proizvodnja i građevinarstvo",0441,"Rudarstvo, mineralni resursi i ostala mineralna goriva",0
1022,Grad Zagreb,županija,2011,rashod,funkcijska,04,Ekonomski poslovi,044,"Rudarstvo, proizvodnja i građevinarstvo",0442,Proizvodnja ,0
1023,Grad Zagreb,županija,2011,rashod,funkcijska,04,Ekonomski poslovi,044,"Rudarstvo, proizvodnja i građevinarstvo",0443,Građevinarstvo,0
1024,Grad Zagreb,županija,2011,rashod,funkcijska,04,Ekonomski poslovi,045,Promet,0451,Cestovni promet,989810703
1025,Grad Zagreb,županija,2011,rashod,funkcijska,04,Ekonomski poslovi,045,Promet,0452,Promet vodnim potovima,0
1026,Grad Zagreb,županija,2011,rashod,funkcijska,04,Ekonomski poslovi,045,Promet,0453,Željeznički promet,50622000
1027,Grad Zagreb,županija,2011,rashod,funkcijska,04,Ekonomski poslovi,045,Promet,0454,Zračni promet,0
1028,Grad Zagreb,županija,2011,rashod,funkcijska,04,Ekonomski poslovi,045,Promet,0455,Promet cjevovodima i ostali promet,0
1029,Grad Zagreb,županija,2011,rashod,funkcijska,04,Ekonomski poslovi,047,Ostale industrije,0471,Distribucija i skladištenje,0
1030,Grad Zagreb,županija,2011,rashod,funkcijska,04,Ekonomski poslovi,047,Ostale industrije,0472,Hoteli i restorani,0
1031,Grad Zagreb,županija,2011,rashod,funkcijska,04,Ekonomski poslovi,047,Ostale industrije,0473,Turizam,0
1032,Grad Zagreb,županija,2011,rashod,funkcijska,04,Ekonomski poslovi,047,Ostale industrije,0474,Višenamjenski razvojni projekti,0
