"Index","Lokacija","Tijelo samouprave","Godina","Vrsta","Klasifikacija","Razred","Razred opis","Skupina","Skupina opis","Podskupina","Podskupina opis","Iznos"
"12011800515","Grad Zagreb","županija","2011","prihodi poslovanja","funkcijska","61","Prihodi od poreza","611","Porez i prirez na dohodak","6111","Porez i prirez na dohodak od nesamostalnog rada","3839031298"
"12011800516","Grad Zagreb","županija","2011","prihodi poslovanja","funkcijska","61","Prihodi od poreza","611","Porez i prirez na dohodak","6112","Porez i prirez na dohodak od samostalnih djelatnosti","320157410"
"12011800517","Grad Zagreb","županija","2011","prihodi poslovanja","funkcijska","61","Prihodi od poreza","611","Porez i prirez na dohodak","6113","Porez i prirez na dohodak od imovine i imovinskih prava","47535220"
"12011800518","Grad Zagreb","županija","2011","prihodi poslovanja","funkcijska","61","Prihodi od poreza","611","Porez i prirez na dohodak","6114","Porez i prirez na dohodak od kapitala","28882106"
"12011800519","Grad Zagreb","županija","2011","prihodi poslovanja","funkcijska","61","Prihodi od poreza","611","Porez i prirez na dohodak","6115","Porez i prirez na dohodak po godišnjoj prijavi","85553035"
"12011800520","Grad Zagreb","županija","2011","prihodi poslovanja","funkcijska","61","Prihodi od poreza","611","Porez i prirez na dohodak","6116","Porez i prirez na dohodak utvrđen u postupku nadzora za prethodne godine","18630514"
"12011800521","Grad Zagreb","županija","2011","prihodi poslovanja","funkcijska","61","Prihodi od poreza","611","Porez i prirez na dohodak","6117","Povrat poreza i prireza na dohodak po godišnjoj prijavi","202130689"
"12011800522","Grad Zagreb","županija","2011","prihodi poslovanja","funkcijska","61","Prihodi od poreza","611","Porez i prirez na dohodak","6119","Povrat više ostvarenog poreza na dohodak za decentralizirane funkcije","-128339000"
"12011800523","Grad Zagreb","županija","2011","prihodi poslovanja","funkcijska","61","Prihodi od poreza","612","Porez na dobit","6121","Porez na dobit od poduzetnika","0"
"12011800524","Grad Zagreb","županija","2011","prihodi poslovanja","funkcijska","61","Prihodi od poreza","612","Porez na dobit","6122","Porez na dobit po odbitku na naknade za korištenje prava i za usluge","0"
"12011800525","Grad Zagreb","županija","2011","prihodi poslovanja","funkcijska","61","Prihodi od poreza","612","Porez na dobit","6123","Porez na dobit po odbitku na kamate, dividende i udjele u dobiti","0"
"12011800526","Grad Zagreb","županija","2011","prihodi poslovanja","funkcijska","61","Prihodi od poreza","6124","Porez na dobit po godišnjoj prijavi","6124","Porez na dobit po godišnjoj prijavi","0"
"12011800527","Grad Zagreb","županija","2011","prihodi poslovanja","funkcijska","61","Prihodi od poreza","6125","Povrat poreza na dobit po godišnjoj prijavi","6125","Povrat poreza na dobit po godišnjoj prijavi","0"
"12011800528","Grad Zagreb","županija","2011","prihodi poslovanja","funkcijska","61","Prihodi od poreza","613","Porezi na imovinu","6131","Stalni porezi na nepokretnu imovinu","555117"
"12011800529","Grad Zagreb","županija","2011","prihodi poslovanja","funkcijska","61","Prihodi od poreza","613","Porezi na imovinu","6132","Porez na nasljedstva i darove","3862586"
"12011800530","Grad Zagreb","županija","2011","prihodi poslovanja","funkcijska","61","Prihodi od poreza","613","Porezi na imovinu","6133","Porez na kapitalne i financijske transakcije","0"
"12011800531","Grad Zagreb","županija","2011","prihodi poslovanja","funkcijska","61","Prihodi od poreza","613","Porezi na imovinu","6134","Povremeni porezi na imovinu","190795029"
"12011800532","Grad Zagreb","županija","2011","prihodi poslovanja","funkcijska","61","Prihodi od poreza","613","Porezi na imovinu","6135","Ostali stalni porezi na imovinu","0"
"12011800533","Grad Zagreb","županija","2011","prihodi poslovanja","funkcijska","61","Prihodi od poreza","614","Porezi na robu i usluge","6141","Porez na dodanu vrijednost","0"
